distance_penalty_coef,loop_penalty,final_reward_mean
0.0,0.0,-0.0249999999999999
0.0052631578947368,0.0526315789473684,-6.509826868448516
0.0105263157894736,0.1052631578947368,-12.99653440609159
0.0157894736842105,0.1578947368421052,-19.48563843344568
0.0210526315789473,0.2105263157894736,-25.977796247692005
0.0263157894736842,0.2631578947368421,-32.473845426186784
0.031578947368421,0.3157894736842105,-38.974853272803614
0.0368421052631578,0.3684210526315789,-45.48217982617077
0.0421052631578947,0.4210526315789473,-51.99755814949189
0.0473684210526315,0.4736842105263157,-58.523196641855975
0.0526315789473684,0.5263157894736842,-65.06190941098055
0.0578947368421052,0.5789473684210527,-71.61728240393724
0.0631578947368421,0.631578947368421,-78.19388510337936
0.0684210526315789,0.6842105263157894,-84.7975402867497
0.0736842105263157,0.7368421052631579,-91.43566777369094
0.0789473684210526,0.7894736842105263,-98.11772245477214
0.0842105263157894,0.8421052631578947,-104.85575246053791
0.0894736842105263,0.894736842105263,-111.66511042236598
0.0947368421052631,0.9473684210526316,-118.56535981438552
0.1,1.0,-125.58142988231272
