epsilon,gamma,iters,optimal_path_length,valid_path
0.9664786937308399,0.5527454027897036,1464,23,True
0.4153612074143675,0.7055081194855903,746,23,True
0.4153612074143675,0.7055081194855903,747,23,True
0.9664786937308399,0.5527454027897036,1507,23,True
0.4153612074143675,0.7055081194855903,756,23,True
0.4153612074143675,0.7055081194855903,737,23,True
0.4153612074143675,0.7055081194855903,754,23,True
0.4153612074143675,0.7055081194855903,758,23,True
0.9664786937308399,0.5527454027897036,1622,23,True
0.4153612074143675,0.7055081194855903,763,23,True
0.4153612074143675,0.7055081194855903,751,23,True
0.4153612074143675,0.7055081194855903,743,23,True
0.02267276674764678,0.6940627903963534,778,23,True
0.4153612074143675,0.7055081194855903,762,23,True
0.02267276674764678,0.6940627903963534,787,23,True
0.02267276674764678,0.6940627903963534,781,23,True
0.02267276674764678,0.6940627903963534,776,23,True
0.02267276674764678,0.6940627903963534,766,23,True
0.02267276674764678,0.6940627903963534,781,23,True
0.02267276674764678,0.6940627903963534,771,23,True
0.02267276674764678,0.6940627903963534,786,23,True
0.02267276674764678,0.6940627903963534,783,23,True
0.02267276674764678,0.6940627903963534,788,23,True
0.5503154397286059,0.8937287629760066,697,23,True
0.9664786937308399,0.5527454027897036,1595,23,True
0.5503154397286059,0.8937287629760066,712,23,True
0.5503154397286059,0.8937287629760066,700,23,True
0.5503154397286059,0.8937287629760066,732,23,True
0.5503154397286059,0.8937287629760066,697,23,True
0.5503154397286059,0.8937287629760066,695,23,True
0.9664786937308399,0.5527454027897036,1598,23,True
0.5503154397286059,0.8937287629760066,712,23,True
0.5503154397286059,0.8937287629760066,710,23,True
0.9664786937308399,0.5527454027897036,1515,23,True
0.9664786937308399,0.5527454027897036,1569,23,True
0.9664786937308399,0.5527454027897036,1556,23,True
0.3995503524468488,0.425024717159285,828,23,True
0.3995503524468488,0.425024717159285,816,23,True
0.5503154397286059,0.8937287629760066,679,23,True
0.5503154397286059,0.8937287629760066,699,23,True
0.9664786937308399,0.5527454027897036,1678,23,True
0.3995503524468488,0.425024717159285,807,23,True
0.3995503524468488,0.425024717159285,829,23,True
0.3995503524468488,0.425024717159285,827,23,True
0.3995503524468488,0.425024717159285,815,23,True
0.3995503524468488,0.425024717159285,828,23,True
0.9664786937308399,0.5527454027897036,1705,23,True
0.3995503524468488,0.425024717159285,810,23,True
0.3995503524468488,0.425024717159285,794,23,True
0.3995503524468488,0.425024717159285,818,23,True
0.8241538617809249,0.9391524013264835,1386,23,True
0.332959093526998,0.6745555996375425,777,23,True
0.8241538617809249,0.9391524013264835,2184,23,True
0.8241538617809249,0.9391524013264835,879,23,True
0.8241538617809249,0.9391524013264835,1212,23,True
0.332959093526998,0.6745555996375425,763,23,True
0.8241538617809249,0.9391524013264835,1459,23,True
0.8241538617809249,0.9391524013264835,1325,23,True
0.8241538617809249,0.9391524013264835,1223,23,True
0.332959093526998,0.6745555996375425,755,23,True
0.332959093526998,0.6745555996375425,770,23,True
0.8241538617809249,0.9391524013264835,1640,23,True
0.332959093526998,0.6745555996375425,760,23,True
0.332959093526998,0.6745555996375425,769,23,True
0.8241538617809249,0.9391524013264835,1549,23,True
0.332959093526998,0.6745555996375425,771,23,True
0.332959093526998,0.6745555996375425,768,23,True
0.332959093526998,0.6745555996375425,766,23,True
0.332959093526998,0.6745555996375425,770,23,True
0.514119118540434,0.22919593695799037,868,23,True
0.8241538617809249,0.9391524013264835,1745,23,True
0.514119118540434,0.22919593695799037,881,23,True
0.514119118540434,0.22919593695799037,854,23,True
0.053427291058792015,0.3137057643186062,895,23,True
0.514119118540434,0.22919593695799037,852,23,True
0.514119118540434,0.22919593695799037,852,23,True
0.514119118540434,0.22919593695799037,861,23,True
0.514119118540434,0.22919593695799037,859,23,True
0.053427291058792015,0.3137057643186062,925,23,True
0.053427291058792015,0.3137057643186062,900,23,True
0.514119118540434,0.22919593695799037,1334,23,True
0.053427291058792015,0.3137057643186062,912,23,True
0.514119118540434,0.22919593695799037,1319,23,True
0.514119118540434,0.22919593695799037,1275,23,True
0.039824520319551034,0.9699404672185289,734,23,True
0.053427291058792015,0.3137057643186062,900,23,True
0.039824520319551034,0.9699404672185289,730,23,True
0.053427291058792015,0.3137057643186062,906,23,True
0.039824520319551034,0.9699404672185289,729,23,True
0.053427291058792015,0.3137057643186062,911,23,True
0.039824520319551034,0.9699404672185289,715,23,True
0.039824520319551034,0.9699404672185289,732,23,True
0.039824520319551034,0.9699404672185289,733,23,True
0.053427291058792015,0.3137057643186062,903,23,True
0.053427291058792015,0.3137057643186062,898,23,True
0.053427291058792015,0.3137057643186062,903,23,True
0.039824520319551034,0.9699404672185289,735,23,True
0.039824520319551034,0.9699404672185289,739,23,True
0.039824520319551034,0.9699404672185289,727,23,True
0.039824520319551034,0.9699404672185289,739,23,True
